Module Name: ,Price:,Supplier:,Link:,What For
SG90 Servo Motor,,Amazon,https://www.amazon.com/Micro-Servos-Helicopter-Airplane-Controls/dp/B07MLR1498/ref=sr_1_3_sspa?dib=eyJ2IjoiMSJ9.Ay5FWf_3dtXbWLXzMJkOq9pz8IcpNw1Sy3NcRG-ruBAwTYGO0D2opXDci_8TGRdwwPDBrjtooWauRBpKO--av53UzJJOtCb_rci7GDe2P70CB-3VMsuKEmcZBsNkKelhvs0ry2OIiuExsR9zkrfeMboeYyvUg0-j3m-uNJ0PJ3OUL5V18uitcgnrIPaJQ6v06XnNj5ivQth4SPp1ff5vTaXXj8C-BkTR9EQaPf3ixtz0AzMS9kzTNDxkkgFRJrD9cVv6gGYg91yxUcIHr5dBFjUvNZsjQx6gX8C10qjK-r8.uHqkmztUS7EUyvZQSPoYM4tr5FaH0a3nWNGwpA-YkcA&dib_tag=se&keywords=sg90+servo+motor&qid=1780919029&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,To modulate the turning on and off of the switch
MTS-102 Switch,,Amazon,https://www.amazon.com/HUAREW-MTS-102-Position-Locking-Switches/dp/B09W5FP2RM,To turn on the machine or off.
