Module Name: ,Price:,Supplier:,Link:,What For
SG90 Servo Motor,,Amazon,Amazon.com: Beffkkip 4Pcs SG90 9g Micro Servos for RC Robot Helicopter Airplane Controls Car Boat,To modulate the turning on and off of the switch
MTS-102 Switch,,Amazon,"HUAREW SPDT Mini Toggle Switch MTS-102 AC 125V 6A / 250V 3A ON-ON 3 Pins 2 Position, Marine Rocker Locking Toggle Switch for Arduino Auto Truck Boat Switches 10Pcs: Amazon.com",To turn on the machine or off.
